pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2022-04-01,"Despite heavy lobbying by the company, workers at the facility voted by a wide margin for a union. It was seen as a rebuke of the company’s treatment of its employees.","It was a union organizing campaign that few expected to have a chance. A handful of employees at Amazon’s massive warehouse on Staten Island, operating without support from national labor organizations, took on one of the most powerful companies in the world.",Amazon Workers on Staten Island Vote to Unionize in Landmark Win for Labor,article,Technology,News,4,https://www.nytimes.com/2022/04/01/technology/amazon-union-staten-island.html
2022-04-15,"In a new show on Prime Video, Claire Foy plays a British aristocrat whose sex life became the subject of salacious tabloid stories in the 1960s.","LONDON — Everybody loves a sex scandal, and a posh one is even better. The great and the good brought down in disgrace: That’s a story people want to hear.",A Duchess Brought Low by ‘A Very British Scandal’,article,Arts,News,6,https://www.nytimes.com/2022/04/15/arts/television/a-very-british-scandal-claire-foy-duchess-of-argyll.html
2022-04-07,"A fortune of $172 billion is almost impossible to fathom. For the magazine’s Money Issue, the artist Mona Chalabi came up with some extremely original comparisons.","A fortune of $172 billion is almost impossible to fathom. For the magazine’s Money Issue, the artist Mona Chalabi came up with some extremely original comparisons.",9 Ways to Imagine Jeff Bezos’ Wealth,multimedia,Magazine,Interactive Feature,3,https://www.nytimes.com/interactive/2022/04/07/magazine/jeff-bezos-net-worth.html
2022-01-13,"It turns out, one can live in America and not have an Amazon Prime account.",This article is part of the On Tech newsletter. Here is a collection of past columns.,How I Quit Prime and Survived,article,Technology,News,3,https://www.nytimes.com/2022/01/13/technology/how-i-quit-prime-and-survived.html
2022-01-28,"Ahead of a major five-city show, the artist reflects on the evolution of her practice and her distrust of Amazon.","This past December, I met the abstract artist Rochelle Feinstein at her studio — a 900-square-foot space in an industrial office building in Queens, N.Y. — to discuss her upcoming exhibition, “You Again,” a survey of her work that will be displayed simultaneously in six independent galleries in Paris, Zurich, New York, Miami and Los Angeles, beginning this month at Bridget Donahue and Candice Madey in Manhattan. Unlike many painters, the ineffability of personal experience concerns Feinstein less than the cultural conditions that create it. What interests her is, “How can I enter that cultural condition and how can I enter it right now?”",Rochelle Feinstein Makes Work That Is Purposefully Hard to Define,article,T Magazine,News,5,https://www.nytimes.com/2022/01/27/t-magazine/rochelle-feinstein-you-again.html
2022-01-26,An Amazon program guaranteed sellers a minimum price while offering a potential upside if an algorithm determined that customers were willing to pay more,"Amazon settled a price-fixing investigation by the Washington State attorney general’s office on Wednesday, agreeing to pay $2.25 million and end a program that gave it control over the prices of products supplied by third-party sellers on its marketplace.",Amazon pays $2.25 million to settle a price-fixing investigation.,article,Technology,News,6,https://www.nytimes.com/2022/01/26/technology/amazon-price-fixing-settlement-washington.html
2022-01-14,The states argue that Google reached a deal with Facebook to have the social network join its effort in an effort to “kill” a competing ad network.,"Google’s chief executive approved an agreement with Facebook at the heart of an antitrust lawsuit that 16 states and Puerto Rico have lodged against the search giant, according to a portion of the complaint revealed on Friday.","Google’s chief executive signed off on deal at center of antitrust case, states say.",article,Technology,News,8,https://www.nytimes.com/2022/01/14/technology/sundar-pichai-google-facebook-antitrust.html
2022-01-20,"With midterm elections approaching, a vote taken on Thursday could be the first of several that Congress takes on bills aimed at the industry.","Lawmakers on Capitol Hill are readying a major push on bills aimed at restraining the power of the country’s biggest tech companies, as they see the window of opportunity closing quickly ahead of the midterm elections.",Efforts to Rein In Big Tech May Be Running Out of Time,article,Technology,News,7,https://www.nytimes.com/2022/01/20/technology/big-tech-senate-bill.html
2022-01-25,"Approval of unions in the U.S. is the highest it’s been in decades, while participation in them has steadily fallen.","Approval of unions in the U.S. is the highest it’s been in decades, while participation in them has steadily fallen.","The U.S. Labor Movement Is Popular, Prominent and Also Shrinking",multimedia,Business Day,Interactive Feature,6,https://www.nytimes.com/interactive/2022/01/25/business/unions-amazon-starbucks.html
2022-12-18,"After years of breakneck growth, the number of scripted TV series orders made by networks and streamers is in decline.","American television viewers have become accustomed to it: Dozens of premieres every month, hundreds of shows every year, a guarantee from Hollywood that there’s always going to be something new to watch.",Streaming’s Golden Age Is Suddenly Dimming,article,Business Day,News,6,https://www.nytimes.com/2022/12/18/business/media/streaming-tv-shows-canceled.html
