Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,,
2018-01-09,25385.80078125,25385.80078125,25439.779296875,25308.41015625,25312.05078125,333490000
2018-01-10,25369.130859375,25369.130859375,25404.919921875,25256.990234375,25348.130859375,341470000
2018-01-11,25574.73046875,25574.73046875,25575.419921875,25396.189453125,25398.599609375,346830000
2018-01-12,25803.189453125,25803.189453125,25810.4296875,25633.080078125,25638.390625,376390000
2018-01-16,25792.859375,25792.859375,26086.119140625,25702.990234375,25987.619140625,606520000
2018-01-17,26115.650390625,26115.650390625,26130.44921875,25865.01953125,25910.779296875,522720000
2018-01-18,26017.810546875,26017.810546875,26153.419921875,25947.3203125,26149.55078125,492780000
2018-01-19,26071.720703125,26071.720703125,26071.720703125,25942.830078125,25987.349609375,585000000
2018-01-22,26214.599609375,26214.599609375,26215.23046875,25974.650390625,26025.3203125,431200000
2018-01-23,26210.810546875,26210.810546875,26246.189453125,26143.900390625,26214.869140625,433490000
2018-01-24,26252.119140625,26252.119140625,26392.80078125,26106.939453125,26282.0703125,518790000
2018-01-25,26392.7890625,26392.7890625,26458.25,26259.720703125,26313.060546875,401390000
2018-01-26,26616.7109375,26616.7109375,26616.7109375,26425.349609375,26466.740234375,477780000
2018-01-29,26439.48046875,26439.48046875,26608.900390625,26435.33984375,26584.279296875,421000000
2018-01-30,26076.890625,26076.890625,26256.990234375,26028.419921875,26198.44921875,448330000
2018-01-31,26149.390625,26149.390625,26338.029296875,26050.98046875,26268.169921875,479130000
2018-02-01,26186.7109375,26186.7109375,26306.69921875,26014.439453125,26083.0390625,410620000
2018-02-02,25520.9609375,25520.9609375,26061.7890625,25490.66015625,26061.7890625,522880000
2018-02-05,24345.75,24345.75,25520.529296875,23923.880859375,25337.869140625,714450000
2018-02-06,24912.76953125,24912.76953125,24946.23046875,23778.740234375,24085.169921875,823940000
2018-02-07,24893.349609375,24893.349609375,25293.9609375,24785.439453125,24892.869140625,504620000
2018-02-08,23860.4609375,23860.4609375,24903.6796875,23849.23046875,24902.30078125,657500000
2018-02-09,24190.900390625,24190.900390625,24382.140625,23360.2890625,23992.669921875,735030000
2018-02-12,24601.26953125,24601.26953125,24765.16015625,24290.48046875,24337.759765625,496610000
2018-02-13,24640.44921875,24640.44921875,24705.720703125,24421.029296875,24540.330078125,374410000
2018-02-14,24893.490234375,24893.490234375,24925.94921875,24490.359375,24535.8203125,431160000
2018-02-15,25200.369140625,25200.369140625,25203.94921875,24809.419921875,25047.8203125,416780000
2018-02-16,25219.380859375,25219.380859375,25432.419921875,25149.259765625,25165.939453125,406730000
2018-02-20,24964.75,24964.75,25179.009765625,24884.189453125,25124.91015625,421510000
2018-02-21,24797.779296875,24797.779296875,25267.990234375,24792.990234375,24988.060546875,456070000
2018-02-22,24962.48046875,24962.48046875,25156.720703125,24854.830078125,24855.41015625,378900000
2018-02-23,25309.990234375,25309.990234375,25313.91015625,25028.73046875,25050.509765625,335420000
2018-02-26,25709.26953125,25709.26953125,25732.80078125,25398.560546875,25403.349609375,473360000
2018-02-27,25410.029296875,25410.029296875,25800.349609375,25407.830078125,25735.779296875,438390000
2018-02-28,25029.19921875,25029.19921875,25576.150390625,25022.419921875,25485.150390625,451870000
2018-03-01,24608.98046875,24608.98046875,25185.349609375,24442.560546875,25024.0390625,506280000
2018-03-02,24538.060546875,24538.060546875,24592.4609375,24217.759765625,24394.91015625,437130000
2018-03-05,24874.759765625,24874.759765625,24961.0,24387.150390625,24471.310546875,383910000
2018-03-06,24884.119140625,24884.119140625,24995.240234375,24708.41015625,24965.890625,331770000
2018-03-07,24801.359375,24801.359375,24849.6796875,24535.119140625,24758.150390625,394070000
2018-03-08,24895.2109375,24895.2109375,24950.490234375,24703.05078125,24853.41015625,327300000
2018-03-09,25335.740234375,25335.740234375,25336.330078125,25004.890625,25004.890625,371570000
2018-03-12,25178.609375,25178.609375,25449.150390625,25152.01953125,25372.439453125,362580000
2018-03-13,25007.029296875,25007.029296875,25376.400390625,24947.5,25257.75,447880000
2018-03-14,24758.119140625,24758.119140625,25130.119140625,24668.830078125,25086.970703125,356830000
2018-03-15,24873.66015625,24873.66015625,25053.869140625,24753.2890625,24837.2890625,316310000
2018-03-16,24946.509765625,24946.509765625,25031.0,24857.08984375,24877.33984375,654240000
2018-03-19,24610.91015625,24610.91015625,24893.689453125,24453.140625,24893.689453125,377990000
2018-03-20,24727.26953125,24727.26953125,24803.609375,24650.640625,24650.640625,342510000
2018-03-21,24682.310546875,24682.310546875,24977.650390625,24655.400390625,24723.490234375,343230000
2018-03-22,23957.890625,23957.890625,24526.009765625,23938.740234375,24526.009765625,439280000
2018-03-23,23533.19921875,23533.19921875,24108.470703125,23509.060546875,23995.1796875,482550000
2018-03-26,24202.599609375,24202.599609375,24232.30078125,23741.220703125,23825.740234375,479540000
2018-03-27,23857.7109375,23857.7109375,24446.220703125,23708.73046875,24276.619140625,524480000
2018-03-28,23848.419921875,23848.419921875,24092.470703125,23728.669921875,23883.080078125,530040000
2018-03-29,24103.109375,24103.109375,24314.30078125,23928.130859375,23949.1796875,463550000
2018-04-02,23644.189453125,23644.189453125,24123.80078125,23344.51953125,24076.599609375,509820000
2018-04-03,24033.359375,24033.359375,24044.349609375,23664.330078125,23698.330078125,394130000
2018-04-04,24264.30078125,24264.30078125,24308.9609375,23523.16015625,23654.150390625,388540000
2018-04-05,24505.220703125,24505.220703125,24622.259765625,24313.91015625,24313.91015625,347790000
2018-04-06,23932.759765625,23932.759765625,24434.400390625,23738.19921875,24373.599609375,395990000
2018-04-09,23979.099609375,23979.099609375,24373.1796875,23954.830078125,24037.51953125,380790000
2018-04-10,24408.0,24408.0,24511.349609375,24198.94921875,24198.94921875,368590000
2018-04-11,24189.44921875,24189.44921875,24366.5703125,24150.869140625,24274.189453125,286360000
2018-04-12,24483.05078125,24483.05078125,24592.119140625,24302.8203125,24302.8203125,336130000
2018-04-13,24360.140625,24360.140625,24646.44921875,24243.740234375,24582.8203125,331890000
2018-04-16,24573.0390625,24573.0390625,24675.359375,24480.19921875,24483.150390625,305070000
